time,FEC0,FEC1,FEC2,FEC3
20251001/0128_54,189.34178573391782,274.5193463606384,201.98130043742387,194.65372537983785
20251001/0130_15,189.35474793117086,274.5534248823243,202.51303611816473,194.12286301237828
20251001/0135_30,189.3990294114402,274.4465154426839,203.90496678260172,193.16819670736948
20251001/0136_50,189.40737553458217,274.3060372244438,203.93855214078374,193.45101434708664
20251001/0140_14,193.9056450197729,274.28145135373956,203.81417582557705,193.86299437229042
20251001/0141_34,198.0307606796309,274.4477626396906,203.65464028392387,193.8614856156168
20251001/0146_03,211.90146208590346,275.0069843387009,203.1182020251149,193.85641242130174
20251001/0147_23,216.02657774576147,275.1732956246519,202.9586664834617,193.85490366462813
20251001/0151_14,218.35178000355975,274.79477189546833,202.69629957417237,193.84948345040334
20251001/0152_35,211.59223980616062,273.98346414352557,202.76099025157214,193.84674234095138
20251001/0158_05,189.5744566096351,271.7370738982438,203.10534294888558,193.83081313022817
20251001/0159_25,189.3937607897368,272.181591271391,203.26429154734078,193.82250382896189
20251001/0204_22,189.08449046213647,274.04616791796695,203.53714136859685,194.06195156795124
20251001/0205_42,189.35574827195313,274.75856766457275,203.2995314039159,194.39151229161058
20251001/0209_55,189.01103240866593,276.85789070536464,203.36358337014008,194.54290200379867
20251001/0211_16,188.4872541900116,277.4771877948212,203.66443747632474,194.28511885792054
20251001/0214_22,188.3159741950956,277.6029594463287,204.658999513185,194.05912897088734
20251001/0218_13,190.0427792703287,275.2863878541924,205.77663203380425,194.347172359009
20251001/0219_33,189.90166546679467,275.38119409020493,205.32374960063325,194.07677107547738
20251001/0225_56,189.2260831323755,275.8350789451148,203.1555749518272,192.78222493057
20251001/0227_16,189.08496932884148,275.9298851811273,202.70269251865622,192.51182364703843
20251001/0231_45,189.36312290033896,275.8984226225998,201.41145418164461,193.77522315917008
20251001/0233_05,189.58915482162476,275.8223759185539,201.0715370384862,194.56463837710513
20251001/0243_03,189.0936430382468,274.19390653529166,201.75553537284,193.92206011959718
20251001/0244_23,188.9735204415145,273.9499358279952,201.92649014722028,193.67488808817424
20251001/0247_58,188.7340943601362,273.5518277566287,202.2786712796106,193.19444989384468
20251001/0255_40,188.7959230222617,274.4761165391617,202.2942872864497,193.43237509346056
20251001/0257_00,188.80662928410158,274.63616654479506,202.296991356898,193.47357426222518
20251001/0304_37,188.86778880486207,275.5504522019759,202.31243835933407,193.7089245137933
20251001/0305_57,188.87849506670202,275.7105022076093,202.31514242978238,193.75012368255796
20251001/0308_13,188.89669571182986,275.9825872171861,202.31973934954456,193.82016226945788
20251001/0309_33,188.90740197366978,276.1426372228195,202.32244341999288,193.86136143822253
20251001/0311_52,188.9212781569006,276.12903721486543,202.51641306148164,193.47295202254145
20251001/0313_12,188.9249830161982,275.8569584905104,202.79951908612966,192.83268012255107
20251001/0314_40,188.9290583614256,275.55767189371994,203.1109357132425,192.1283810325616
20251001/0316_00,188.93276322072325,275.2855931693649,203.3940417378905,191.4881091325712
20251001/0327_34,189.1061869874988,274.6837764851126,205.83163698264315,191.05457382885612
20251001/0328_54,189.13339024386397,274.7041661598474,206.11169111222773,191.26599813322355
20251001/0332_54,189.21500001295948,274.7653351840517,206.95185350098149,191.90027104632597
20251001/0334_14,189.24220326932465,274.78572485878647,207.2319076305661,192.11169535069342
